"","V1"
"2012_WI-NZ_1_1_TeamneedshundredsfrombatsmenTaylor_OR.txt",1
"2012_WI-NZ_1_10_Gaylereturnsinterrificstyle_SubashJayaraman.txt",2
"2012_WI-NZ_1_11_GaylePowelltonsgiveWIedge_KanishkaaBalachandran.txt",1
"2012_WI-NZ_1_12_WelcomebackChrisGayle_SubashJayaraman.txt",1
"2012_WI-NZ_1_13_Glimpsesofagloriouspast_SubashJayaraman.txt",1
"2012_WI-NZ_1_14_GayletakesallthepressureoffPowell_OR.txt",1
"2012_WI-NZ_1_15_GayleandPowelldeflateNewZealand_KanishkaaBalachandran.txt",1
"2012_WI-NZ_1_16_GuptillbattlestheNarinethreat_SubashJayaraman.txt",1
"2012_WI-NZ_1_17_WereontopRossTaylor_OR.txt",1
"2012_WI-NZ_1_18_HonoursevenafterNarinestrikes_KanishkaaBalachandran.txt",1
"2012_WI-NZ_1_19_Martinexpectsplentyofswing_OR.txt",2
"2012_WI-NZ_1_2_TodaywasmydayRoach_OR.txt",1
"2012_WI-NZ_1_20_Testlightweightsscrapforraresuccess_SiddarthRavindran.txt",2
"2012_WI-NZ_1_21_oultandWatlingoutoffirstTest_OR.txt",1
"2012_WI-NZ_1_22_GayleTestreturnveryexcitingSammy_OR.txt",2
"2012_WI-NZ_1_3_CoachGibsonhailsallroundperformance_SubashJayaraman.txt",2
"2012_WI-NZ_1_4_RoachsetsupcrushingwinforWestIndies_KanishkaaBalachandran.txt",1
"2012_WI-NZ_1_5_GuptillconfidentofNewZealandsavingTest_OR.txt",1
"2012_WI-NZ_1_6_WestIndieschancesreduceonflatpitch_SubashJayaraman.txt",1
"2012_WI-NZ_1_7_NewZealandtopordebridgesgap_KanishkaaBalachandran.txt",1
"2012_WI-NZ_1_8_NewZealandrefusetobreak_SubashJayaraman.txt",1
"2012_WI-NZ_1_9_ImmoreawareofmyroleKieran Powell_OR.txt",2
"2012_WI-NZ_2_1_NewZealandruelackofhundreds_OR.txt",1
"2012_WI-NZ_2_10_ChrisTavareGayle?_SubashJayaraman.txt",3
"2012_WI-NZ_2_11_Samuelsredemptionsong_SubashJayaraman.txt",3
"2012_WI-NZ_2_12_FourquicksployworkedBoult_OR.txt",1
"2012_WI-NZ_2_13_NewZealandaheaddespiteSamuelston_KanishkaaBalachandran.txt",3
"2012_WI-NZ_2_14_NotaneasypitchtobowlonRoach_OR.txt",1
"2012_WI-NZ_2_15_NewZealandsbatsmendotoolittle_SubashJayaraman.txt",1
"2012_WI-NZ_2_16_Adayforwatchingthecrease_SubashJayaraman.txt",3
"2012_WI-NZ_2_17_RoachandBestmakeitWestIndiesday_KanishkaaBalachandran.txt",1
"2012_WI-NZ_2_18_ElusivevictorywithinWestIndiesgrasp_GeorgeBinoy.txt",1
"2012_WI-NZ_2_19_Sammykeentokeepthatwinningfeeling_SubashJayaraman.txt",2
"2012_WI-NZ_2_2_AnimportantwinfortheWestIndieshierarchy_GarthWattley.txt",2
"2012_WI-NZ_2_20_InjuredRampauloutofsecondTest_OR.txt",1
"2012_WI-NZ_2_3_ThisonesdefinitelyforJamaicaSamuels_OR.txt",1
"2012_WI-NZ_2_4_DominantWestIndiessealseries_KanishkaaBalachandran.txt",1
"2012_WI-NZ_2_5_NewZealandnotoutofJamaicaTestSouthee_OR.txt",1
"2012_WI-NZ_2_6_Weatherputsdamperonchanceofresult_SubashJayaraman.txt",1
"2012_WI-NZ_2_7_WeveworkedNewZealandbatsmenoutDeonarine_SubashJayaraman.txt",1
"2012_WI-NZ_2_8_AttentionitstheOlympics_SubashJayaraman.txt",3
"2012_WI-NZ_2_9_SamuelsspinnersgiveWestIndiestheedge_KanishkaaBalachandran.txt",3
"2013_NZ-WI_1_1_NewZealandWestIndies_OR.txt",3
"2013_NZ-WI_1_10_NZseamerslayplatformforinningswin_DevashishFuloria.txt",3
"2013_NZ-WI_1_11_TaylorjoinseliteNewZealandlistwithdouble_AndrewMcGlashan.txt",2
"2013_NZ-WI_1_12_Taylordouble-centurysetsupNewZealand_DevashishFuloria.txt",3
"2013_NZ-WI_1_13_NZbeginsummerwithlong-awaitedtons_DevashishFuloria.txt",2
"2013_NZ-WI_1_14_TaylorMcCullumcenturiesdriveNZ_DevashishFuloria.txt",3
"2013_NZ-WI_1_15_NZfavouritesagainststrugglingWI_AndrewMcGlashan.txt",2
"2013_NZ-WI_1_16_WilliamsonruledoutoffirstTest_AndrewMcGlashan.txt",2
"2013_NZ-WI_1_2_WestIndiesfollowonstar_SRajesh.txt",1
"2013_NZ-WI_1_3_SammyrelievedatavoidingIndiarepeat_AndrewMcGlashan.txt",2
"2013_NZ-WI_1_4_McCullumwoeasNewZealanddeniedagain_AndrewMcGlashan.txt",2
"2013_NZ-WI_1_5_RainaidsWestIndiesgreatescape_DevashishFuloria.txt",3
"2013_NZ-WI_1_6_ResilientBravoshowsoverseasprowess_AndrewMcGlashan.txt",3
"2013_NZ-WI_1_7_MagnificentBravoputsWestIndiesinlead_DevashishFuloria.txt",3
"2013_NZ-WI_1_8_ChanderpaulthekeyasWIfightback_AndrewMcGlashan.txt",2
"2013_NZ-WI_1_9_NZfindvenominSouthee-Boultcombination_AndrewMcGlashan.txt",3
"2013_NZ-WI_2_1_NewZealandvWestIndies2013-14_OR.txt",3
"2013_NZ-WI_2_10_WestIndies'Besthasn'tbeenenough_AndrewMcGlashan.txt",2
"2013_NZ-WI_2_11_NewZealanddominaterain-hitday_AbhishekPurohit.txt",3
"2013_NZ-WI_2_12_WestIndiesflufftheirchance_AndrewMcGlashan.txt",3
"2013_NZ-WI_2_13_TaylorcenturypunishessloppyWI_AndrewMcGlashan.txt",3
"2013_NZ-WI_2_14_SammychallengesNZtoplaybetter_AndrewMcGlashan.txt",2
"2013_NZ-WI_2_15_WIbullishafterDunedinfightback_AndrewMcGlashan.txt",2
"2013_NZ-WI_2_2_WakeupWestIndies_MartinCrowe.txt",2
"2013_NZ-WI_2_3_WellingtonhightopsBoult'sbigyear_AndrewMcGlashan.txt",2
"2013_NZ-WI_2_4_GibsonasksWestIndiesto'manup_AndrewMcGlashan.txt",2
"2013_NZ-WI_2_5_Bowlersfailedinhelpfulconditions-Sammy_AndrewMcGlashan.txt",2
"2013_NZ-WI_2_6_SeamersfireNewZealand'sgrowingself-belief_AndrewMcGlashan.txt",2
"2013_NZ-WI_2_7_Boultsbestlosing20wicketstofastbowlers_ShivaJayaraman.txt",1
"2013_NZ-WI_2_8_BoultswingsNZtoinningswin_AbhishekPurohit.txt",3
"2013_NZ-WI_2_9_NewZealand'sreliable'sheriff'_AndrewMcGlashan.txt",1
"2013_NZ-WI_3_1_NewZealandvWestIndies,2013-14_OR.txt",3
"2013_NZ-WI_3_10_NarinethreatgivesWIadvantage_AbhishekPurohit.txt",3
"2013_NZ-WI_3_11_RamdinhelpspullWIbackfromthebrink_AndrewMcGlashan.txt",2
"2013_NZ-WI_3_12_Ramdin,ChanderpaulreviveWI_AbhishekPurohit.txt",3
"2013_NZ-WI_3_13_WestIndiespinhopesonNarine_AndrewMcGlashan.txt",2
"2013_NZ-WI_3_14_Luckytohaveaworld-classbowlingline-up-McCullum_AndrewMcGlashan.txt",2
"2013_NZ-WI_3_15_NZaimtoburybrittleWindies_AndrewMcGlashan.txt",2
"2013_NZ-WI_3_2_Somecareersareontheline-Sammy_AndrewMcGlashan.txt",2
"2013_NZ-WI_3_3_NewZealandshowsignsofarevival_AndrewMcGlashan.txt",2
"2013_NZ-WI_3_4_NewZealandeasetoseriesvictory_AndrewMcGlashan.txt",3
"2013_NZ-WI_3_5_Narinefactor'increasesvalueofHamiltonton-Taylor_AndrewMcGlashan.txt",1
"2013_NZ-WI_3_6_RoutineunravellingofbattingcostsWestIndies_AndrewMcGlashan.txt",3
"2013_NZ-WI_3_7_TaylormovesupNewZealand'srecordscharts_ShivaJayaraman.txt",1
"2013_NZ-WI_3_8_WIblownawayinasessionfor103_AbhishekPurohit.txt",1
"2013_NZ-WI_3_9_SpingivesWestIndiesearlyfoothold_AndrewMcGlashan.txt",3
